0,DETROIT -- __NE_FROM__ today said it would name its redesigned mid-sized sedan the Chrysler 200 -- the vehicle that will replace the __NE_TO__ in its lineup .,DETROIT -- Chrysler Group today said it would name its redesigned mid-sized sedan the Chrysler 200 -- the vehicle that will replace the Sebring in its lineup.,reject,0.4422677755,0
1,"On a trip to Wisconsin earlier this month , I visited custom extruder __NE_FROM__ in Baraboo and custom injection molder __NE_TO__ in Germantown .","On a trip to Wisconsin earlier this month, I visited custom extruder Teel Plastics Inc. in Baraboo and custom injection molder Plastic Components Inc. in Germantown.",reject,0.5716699958,0
2,"After months of prodding , __NE_FROM__ , the makers of Crest brand toothpastes , say __NE_TO__ will be completely removed from its dental products by March 2016 .","After months of prodding, Procter & Gamble Co., the makers of Crest brand toothpastes, say PE will be completely removed from its dental products by March 2016.",reject,0.7728316188000001,0
3,"__NE_OTHER__ would have lost its number one position to __NE_FROM__ , had all of __NE_TO__ 2012 projects in Brazil been connected to the grid","Vestas would have lost its number one position to GE, had all of GE’s 2012 projects in Brazil been connected to the grid",reject,0.634044826,0
4,"During the Farnborough International Airshow 2016 , the __NE_FROM__ announced that __NE_OTHER__ will deliver 50 AH-64E Apache attack helicopters to the __NE_TO__ under an agreement signed between the U.S. and UK governments .","During the Farnborough International Airshow 2016, the UK Ministry of Defence  announced that Boeing will deliver 50 AH-64E Apache attack helicopters to the British Army under an agreement signed between the U.S. and UK governments.",reject,0.5665661097,0
5,View at the top : __NE_FROM__ leapfrogged __NE_TO__ as rising commercial and military sales coincided with declines in both areas for its European rival .,View at the top: Boeing leapfrogged EADS as rising commercial and military sales coincided with declines in both areas for its European rival.,reject,0.6749590039000001,0
6,"To make room for the __NE_FROM__ , __NE_TO__ invested $ 900 million into its factory in Chattanooga , Tennessee , which added 538,000 square feet ( 50,000 square meters ) there .","To make room for the CrossBlue, VW invested $900 million into its factory in Chattanooga, Tennessee, which added 538,000 square feet (50,000 square meters) there.",ownership,0.4763061106,4
7,"Both __NE_FROM__ and __NE_TO__ are in the process of building engine cores , with plans to complete the engines by 2017 .","Both GE and P&W are in the process of building engine cores, with plans to complete the engines by 2017.",B_supplies_A,0.630399406,1
8,"__NE_FROM__ __NE_TO__ aims to increase sales to 800,000 vehicles by 2020 , including 300,000 in China , from 373,500 units worldwide last year .","China's Zhejiang Geely Holding Group Co. Volvo aims to increase sales to 800,000 vehicles by 2020, including 300,000 in China, from 373,500 units worldwide last year.",B_supplies_A,0.7584566474000001,1
9,__NE_FROM__ ( __NE_TO__ 1891 ) : Thermoforming machines .,Geiss LLC (Booth 1891): Thermoforming machines.,reject,0.7175372839,0
10,"__NE_OTHER__ compute module is one of the first platforms to support __NE_FROM__ , which __NE_TO__ released source code for today via an invitation program .","Edison compute module is one of the first platforms to support Brillo, which Google released source code for today via an invitation program.",reject,0.4842360914,0
11,"UK-based low-fare carrier __NE_FROM__ , under an agreement with __NE_TO__ , is soon to start the first of three studies aimed at using demographic data , questionnaires , real-time measurements and flight data monitoring to develop objective measures of physiological and cognitive effects of fatigue , including the impact of commuting .","UK-based low-fare carrier EasyJet, under an agreement with NASA, is soon to start the first of three studies aimed at using demographic data, questionnaires, real-time measurements and flight data monitoring to develop objective measures of physiological and cognitive effects of fatigue, including the impact of commuting.",reject,0.9233468771000001,0
12,"__NE_FROM__ will contribute to __NE_TO__ work on the __NE_OTHER__ next-generation global positioning system , known as GPS III , and NASA 's Orion crew exploration vehicle .","CHIL will contribute to Lockheed's work on the US Air Force next-generation global positioning system, known as GPS III, and NASA's Orion crew exploration vehicle.",B_supplies_A,0.6573947668,1
